trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",20,0,-182.1732575753729,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.98}",20,0,-81.65954020533646,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.97}",20,0,-227.92683950673725,"{0: 10, 1: 1, 2: 3, 3: 2, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.96}",30,0,-211.0841523170666,"{0: 19, 1: 0, 2: 7, 3: 0, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.95}",20,0,-70.95595634369813,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.94}",25,0,-92.77574023012889,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9299999999999999}",30,17,-134.814155036462,"{0: 6, 1: 0, 2: 4, 3: 1, 4: 2}",1
8,False,"{'a': 0.5, 'e': 0.9199999999999999}",20,0,-59.99748488010078,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9099999999999999}",20,0,-14.931432563128824,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-67.94439758025509,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.8899999999999999}",30,0,-67.97619096262233,"{0: 22, 1: 3, 2: 2, 3: 3, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.8799999999999999}",25,0,-62.092184113526564,"{0: 14, 1: 6, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.8699999999999999}",25,2,-49.41711469171725,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 1}",1
